,categories,coordinates.latitude,coordinates.longitude,id,location.address1,location.address2,location.address3,location.city,location.country,location.formatted_address,location.postal_code,location.state,name,price,rating,review_count,url,cluster_id,score,path
366,[{'alias': 'bars'}],34.0561351,-118.2374828,I-oKv3WLfQWOykEPrGnk3A,800 N Alameda St,,,Los Angeles,US,"800 N Alameda St
Los Angeles, CA 90012",90012,CA,TRAXX BAR,,5,3,https://www.yelp.com/biz/traxx-bar-los-angeles-5?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,5,5.477121255,3
380,"[{'alias': 'tacos'}, {'alias': 'cocktailbars'}, {'alias': 'venues'}]",34.03437201,-118.2321303,SNlf3YpKkDG-e4R9jkwLhA,2000 E 7th St,,,Los Angeles,US,"2000 E 7th St
Los Angeles, CA 90021",90021,CA,Guerrilla Tacos,$$,4,694,https://www.yelp.com/biz/guerrilla-tacos-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,6,6.84135947,1
372,"[{'alias': 'yoga'}, {'alias': 'venues'}, {'alias': 'musicvenues'}]",34.030971,-118.229614,dnqKd2S0asBAvXeVyWHzIA,1018 S Santa Fe Ave,,,Los Angeles,US,"1018 S Santa Fe Ave
Los Angeles, CA 90021",90021,CA,play,$,3.5,2,https://www.yelp.com/biz/play-los-angeles-3?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,6,3.801029996,2
382,[{'alias': 'karaoke'}],34.031921,-118.232574,EoCURvJwfxUXerCgfwt3rQ,915 S Mateo St,,,Los Angeles,US,"915 S Mateo St
Los Angeles, CA 90021",90021,CA,Silver Factory Studios,$$$,1.5,14,https://www.yelp.com/biz/silver-factory-studios-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,6,2.646128036,3
377,"[{'alias': 'cocktailbars'}, {'alias': 'speakeasies'}]",34.03438763,-118.2313826,YgQJsJQ0bBtpTR1sGkLJaQ,2028 E 7th St,,,Los Angeles,US,"2028 E 7th St
Los Angeles, CA 90021",90021,CA,John Thomas & Son,,5,1,https://www.yelp.com/biz/john-thomas-and-son-los-angeles-2?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,6,5,4
384,[{'alias': 'bars'}],34.03439,-118.232589,gfCW8zTVPVdP1L9m_LqauQ,1936 E 7th St,,,Los Angeles,US,"1936 E 7th St
Los Angeles, CA 90021",90021,CA,Everson Royce Bar,$$,4.5,756,https://www.yelp.com/biz/everson-royce-bar-los-angeles-3?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,6,7.378521796,5
369,"[{'alias': 'gastropubs'}, {'alias': 'pubs'}, {'alias': 'sportsbars'}]",34.03602,-118.23305,ZAfPTUXULIuma2N6Sb-dMQ,1855 Industrial St,,,Los Angeles,US,"1855 Industrial St
Los Angeles, CA 90021",90021,CA,Little Bear,$$,3.5,765,https://www.yelp.com/biz/little-bear-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,6,6.383661435,6
391,"[{'alias': 'mexican'}, {'alias': 'sportsbars'}, {'alias': 'breakfast_brunch'}]",34.0476644,-118.4633843,y5wmbVa-YMLxaKYh5meRxg,11829 Wilshire Blvd,,,Los Angeles,US,"11829 Wilshire Blvd
Los Angeles, CA 90025",90025,CA,Cabo Cantina,$$,3,613,https://www.yelp.com/biz/cabo-cantina-los-angeles-2?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,7,5.787460475,1
386,"[{'alias': 'poolhalls'}, {'alias': 'sportsbars'}, {'alias': 'newamerican'}]",34.0476319,-118.4634193,cpH1Lut_cep5zZyNImlnbw,11835 Wilshire Blvd,,,Los Angeles,US,"11835 Wilshire Blvd
Los Angeles, CA 90024",90024,CA,Q's Billiard Club,$$,3.5,536,https://www.yelp.com/biz/qs-billiard-club-los-angeles?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,7,6.22916479,2
389,"[{'alias': 'mediterranean'}, {'alias': 'hookah_bars'}, {'alias': 'tapas'}]",34.04619,-118.46434,uDoYYdrvnUal7-RrZ9le7A,11906 Wilshire Blvd,B10,,Los Angeles,US,"11906 Wilshire Blvd
B10
Los Angeles, CA 90025",90025,CA,Layali LA,$$,5,56,https://www.yelp.com/biz/layali-la-los-angeles-4?adjust_creative=8-OWAMyq9TD-D2E2r9j3cg&utm_campaign=yelp_api_v3&utm_medium=api_v3_graphql&utm_source=8-OWAMyq9TD-D2E2r9j3cg,7,6.748188027,3
